series,total_markets,live_now,today,upcoming,backtest_n,wins,accuracy,expected_profit,profitable,example_title
KXWTACHALLENGERMATCH,478,30,2,446,72,67,93.05555555555556,0.01055555555555554,True,Will Dalila Spiteri win the Romero Gormaz vs Spiteri : Round
KXATPCHALLENGERMATCH,1000,28,44,928,76,72,94.73684210526315,0.027368421052631493,True,Will Guy Den Ouden win the Den Ouden vs Dedura-Palomero : Ro
KXBTC15M,1000,24,69,907,55,51,92.72727272727272,0.0072727272727272085,True,BTC price up in next 15 mins?
KXSOL15M,1000,24,69,907,53,49,92.45283018867924,0.00452830188679243,True,SOL price up in next 15 mins?
KXETH15M,1000,24,69,907,60,54,90.0,-0.020000000000000018,False,ETH price up in next 15 mins?
KXXRP15M,1000,24,69,907,32,24,75.0,-0.17000000000000004,False,XRP price up in next 15 mins?
KXNBAMENTION,1000,17,17,966,83,75,90.36144578313254,-0.016385542168674605,False,What will the announcers say during Boston vs Denver Profess
KXLOLMAP,1000,12,18,970,41,29,70.73170731707317,-0.21268292682926826,False,Will Fukuoka SoftBank Hawks Gaming win map 3 in the Ground Z
KXLOLGAME,654,4,6,644,100,89,89.0,-0.030000000000000027,False,Will Solary win the Galions Sharks vs. Solary League of Lege
KXLOLTOTALMAPS,276,4,6,266,16,13,81.25,-0.10750000000000004,False,Will over 4.5 maps be played in the Ground Zero Gaming vs. F
KXNBAREB,1000,0,290,710,10,10,100.0,0.07999999999999996,True,Mitchell Robinson: 12+ rebounds
KXNBAPTS,1000,0,246,754,9,8,88.88888888888889,-0.0311111111111112,False,Mitchell Robinson: 25+ points
KXNBAAST,1000,0,220,780,5,2,40.0,-0.52,False,Donovan Clingan: 8+ assists
KXNBASPREAD,1000,0,197,803,24,24,100.0,0.07999999999999996,True,Orlando wins by over 10.5 Points?
KXNBA3PT,1000,0,120,880,5,5,100.0,0.07999999999999996,True,Anthony Edwards: 6+ threes
KXNBATOTAL,1000,0,110,890,84,80,95.23809523809523,0.03238095238095218,True,Minnesota at Portland: Total Points
KXNCAAMBGAME,1000,0,70,930,15,15,100.0,0.07999999999999996,True,Charleston at Hampton Winner?
KXNBA2D,1000,0,61,939,8,5,62.5,-0.29500000000000004,False,Mitchell Robinson: Double Double
KXNBASTL,1000,0,51,949,5,4,80.0,-0.12,False,Payton Pritchard: 3+ steals
KXVALORANTMAP,324,0,32,292,16,14,87.5,-0.04500000000000004,False,Will sleepers win map 2 in the sleepers vs. SaD Esports matc
KXCS2GAME,634,0,26,608,65,59,90.76923076923077,-0.012307692307692353,False,Will Voca win the Voca vs. M80 CS2 match?
KXEFLCHAMPIONSHIPGAME,810,0,24,786,64,57,89.0625,-0.02937500000000004,False,Bristol City vs Watford Winner?
